Geometry,Merge number,Art Year,Major conservation,created date,last edited,Artist full name,List title,Short description,Tour card,Fact sheet URL,Photo quality,Video URL,Google map URL,Latitude,Longitude,photo caption,Photo alt,More Info URL,Related Project URL,Current Interest,Special Interest,Nearest Point of Interest,Zoom,Accession Number,Last name,First name,Series,Title,Featured,Display term,Detailed materials,Category,Object Type,Dimensions,Location,Additional Location Information,Actual address,Interior or Exterior,Location type,Location 2,Permission required,Permission type,Neighborhood,Tags keywords,tags keywords 2,Tour_Card,Conservation status,Temporary or permanent,Photo website,Theme Tags
POINT (-71.12782084996931 42.39055228032591),271,1983,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Judelson,Brickworker and Ballplayer (Ballplayer),,,,,,"https://www.google.com/maps/search/?api=1&query=42.39055228,-71.12782085",42.39055228,-71.12782085,"Photo credit: Craig Bailey, Perspective Photography",,,,,,Porter,in,CAC.83.01b,Judelson,David,Brickworker and Ballplayer,Ballplayer,no,,Handmade brick and masonry,Sculpture,Sculpture,78”(h) x 47.5”(w) x 43.25”(d),Rindge Field,Intersection at Pemberton Street and Haskell Street,,Exterior,Pathway,Park; Pathway,no,,North Cambridge,community,brick; labor; baseball; community,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Judelson_CAC8301b_PerspectivePhoto.JPG,goofy
POINT (-71.10067087988475 42.36841158984723),86,2002,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,John Tagiuri,Chairs and Endless Lamps (Right lamp),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Respite.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36841159,-71.10067088",42.36841159,-71.10067088,,,,,,,Central,in,CAC.02.03c,Tagiuri,John,Chairs and Endless Lamps,(Right lamp),no,,Concrete and metal,Sculpture,Sculptural Light,183”(h) x 48”(dia.),Moses Youth Center,"Behind 243 Harvard Street, between the youth center building and the adjacent Sennott Park basketball court",,Exterior,Public Building,Public Building,no,,The Port,light,Egyption; light; respite; seat; sit,Relish a Respite,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Tagiuri_ChairsAndEndlessLamps_rightlamp.JPG,sentimental
POINT (-71.07662169970091 42.36610561989262),202,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Webb,Untitled (Praying Mantis),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Treasure.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36610562,-71.0766217",42.36610562,-71.0766217,,,,,,,Lechmere,in,CAC.92.03.4a,Webb,Nancy,Untitled,(Praying Mantis),no,,Bronze,Sculpture,Bronze Relief,Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.),Charles Park,Intersection at Edwin H. Land Blvd. and Charles Street,,Exterior,Park,Park; Pathway,no,,East Cambridge,nature,insect; mantis; nature; tiny; treasure; look close,Look Close! Find a Tiny Treasure,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_4a_Webb.jpg,nostalgia
POINT (-71.11637995042403 42.382344929802294),385,1996,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy O'Neil,"Untitled (4 keys, astrolabe, and computers)",,,,,,"https://www.google.com/maps/search/?api=1&query=42.38234493,-71.11637995",42.38234493,-71.11637995,"Photo credit: Craig Bailey, Perspective Photography",,,,,,Porter,same,CAC.96.01h,O'Neil,Nancy,Untitled,"(4 keys, astrolabe, and computers)",no,,Hand-painted stained glass,Stained Glass,Stained glass,28”(h) x 22”(w),Maria L. Baldwin Elementary School,"Stairwell, levels 3-4 (right)",85 Oxford Street,Interior,School,School; Public Building,yes,"Call Public Art Administrator, 617-349-4388",Agassiz,light,"glass, color, light",,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/ONeil_CAC9601h_PerspectivePhoto.JPG,nostalgia
POINT (-71.07640617050166 42.36688942016912),221,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Webb,Untitled (Katydid),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Treasure.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36688942,-71.07640617",42.36688942,-71.07640617,,,,,,,Lechmere,in,CAC.92.03.21,Webb,Nancy,Untitled,(Katydid),no,,Bronze,Sculpture,Bronze Relief,Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.),Charles Park,Intersection at Edwin H. Land Blvd. and Charles Street,,Exterior,Park,Park; Pathway,no,,East Cambridge,nature,insect; katydid; nature; tiny; treasure; look close,Look Close! Find a Tiny Treasure,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_21_Webb.jpg,goofy
POINT (-71.12782084996931 42.39055228032591),370,1983,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Judelson,Brickworker and Ballplayer,,,,,,"https://www.google.com/maps/search/?api=1&query=42.39055228,-71.12782085",42.39055228,-71.12782085,"Photo credit: Craig Bailey, Perspective Photography",,,,,,,out,CAC.83.01a,Judelson,David,Brickworker and Ballplayer,,no,,Handmade brick and masonry,Sculpture,Sculpture,60”(h) x 63”(w) x 54.75”(d),Rindge Field,Intersection at Pemberton Street and Haskell Street,,Exterior,Pathway,Park; Pathway,no,,North Cambridge,community,brick; labor; baseball; community,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Judelson_CAC8301_Overall_PerspectivePhoto.JPG,goofy
POINT (-71.11919640023815 42.38880175044485),103,2006,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Toshihiro Katayama,Porter Square Landscape Design (Long wall),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Color.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.38880175,-71.1191964",42.38880175,-71.1191964,,,,,,,Porter,in,CAC.06.01c,Katayama,Toshihiro,Porter Square Landscape Design,(Long wall),no,,Tnemec painted steel,Landscape,Metal,37”(h) x 660”(w) x 0.75(d),Porter Square Shopping Center,Long wall in front of the shops (directly across from the Porter Square T station),1931 Massachusetts Avenue,Exterior,Public Square,Public Square; Pathway,no,,North Cambridge,land design,abstract; land design; color; line; shape,Get a Blast of Local Color,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Katayama_CAC0601_PorterSquareLandscapeDesign.jpg,goofy
POINT (-71.11040435996819 42.37377440001442),304,2010,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Ellen Driscoll,Filament/Firmament,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Activism.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.3737744,-71.11040436",42.3737744,-71.11040436,,,,,,,Harvard,same,CAC.09.04a-b,Driscoll,Ellen,,Filament/Firmament,no,,"Etched glass, perforated zinc panels, woven cable, text, and textile imagery",Sculpture,Mixed Media Installation,664”(h) x 187”(w),Cambridge Main Public Library,"1st and 2nd floor, (look up) from 1st floor atrium at elevator. Can also access from 2nd floor",449 Broadway,Interior,Library,Library; Public Building,no,,Mid-Cambridge,community,text; symbol; identity; community; activism; feminism,Blaze a Trail for Activism,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Driscoll_FilamentFirmament.jpg,nostalgia
POINT (-71.14308431046439 42.396799060121445),261,1997,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Carlos Dorrien,Alewife Portals (a),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Pedals.pdf,,1.0,,"https://www.google.com/maps/search/?api=1&query=42.39679906,-71.14308431",42.39679906,-71.14308431,,,,,,,Alewife,in,CAC.97.04a,Dorrien,Carlos,Alewife Portals,(Next to road),no,,Granite,Sculpture,Stone,103”(h) x 49.5”(w) x 51”(d),Minuteman Commuter Bikeway,End of Steel Place (street) on the north side of the Alewife MBTA station,,Exterior,Park,Park; Pathway,no,,North Cambridge,entryway,stone; fish; entryway; biking; bike path,Push Those Pedals,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dorrien_AlewifePortals_a.JPG,nostalgia
POINT (-71.07751555015511 42.368718090098405),353,2011,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Simonds,Beacon of Color,,,,3.0,,"https://www.google.com/maps/search/?api=1&query=42.36871809,-71.07751555",42.36871809,-71.07751555,,,,,,,Lechmere,out,CAC.11.01,Simonds,Nancy,Beacon of Color,,no,,Acrylic on Sintra,Mural,Painted Mural,,First Street Garage,Corner of First and Spring St.,,Exterior,Pathway,Pathway; Private Building,no,,East Cambridge,abstract,abstract; shape; color,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01_Simonds.JPG,nostalgia
POINT (-71.07555262952985 42.36931876021842),29,1986,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Beach Fragments (e),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Ocean.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36931876,-71.07555263",42.36931876,-71.07555263,,,,,,,Lechmere,in,CAC.86.03e,Phillips,David,Beach Fragments,(Large stones and symbols),no,,Silicon bronze in brick,Sculpture,Bronze Relief,16”(h) x 16”(w),Lechmere Canal Park,"Inlaid in brick, under the park pavilion",,Exterior,Park,Park,no,,East Cambridge,nature,beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;,Ode to the Ocean,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603e_BeachFragments.JPG,goofy
POINT (-71.08334508031672 42.37228046965865),39,2006,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Robert Schelling,Gore Field (a),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Play.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.37228047,-71.08334508",42.37228047,-71.08334508,,,,,,,Lechmere,in,CAC.06.06a,Schelling,Robert,Gore Field,(Medallion - triangle with dots),no,,Silicon bronze,Sculpture,Bronze Relief,"16""""(h) x 17""""(w) x 1.5""""(d)",Gold Star Mothers Park,"Mounted on brick pillars at park entrances, Gore Street and 5th Street",,Exterior,Park,Park; Playground,no,,East Cambridge,abstract,abstract; shape; entryway; play; spirit; fun,This Way to Play,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606a_GoreField.JPG,nostalgia
POINT (-71.10329853027666 42.36414685015211),161,2004,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Edwin Andrews,Dot Matrix,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Color.pdf,,1.0,,"https://www.google.com/maps/search/?api=1&query=42.36414685,-71.10329853",42.36414685,-71.10329853,,,,,,,Central,same,CAC.04.05a-f,Andrews,Edwin,Dot Matrix,,no,,"Aluminum, plexiglass, and steel cable",Sculpture,Window Design,Various,Green St. Garage,Corner of Pearl & Green St.,,Exterior,Public Building,Public Building,no,,Cambridgeport,abstract,abstract; shape; color; light; play,Get a Blast of Local Color,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Andrews_CAC0404_DotMatrix.JPG,oceanic
POINT (-71.10338242957394 42.370079040224795),396,2004,2017,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Michael Glier,Town Green,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_City.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.37007904,-71.10338243",42.37007904,-71.10338243,,,,,,,Central,out,CAC.04.01a-j,Glier,Michael,Town Green,,no,,Acrylic and charcoal on sheetrock,Mural,Painted Mural,,City Hall Annex,,344 Broadway,Interior,Public Building,Public Building,no,,Mid-Cambridge,community,"about Cambridge; city; drawing, community; civic; government; democracy",Sense of City,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Glier_CAC0401_TownGreen.jpg,memorial
POINT (-71.1127443203148 42.35613544016427),298,1957,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,György Kepes & Juliet Kepes,Untitled (Owl on Blue Background),,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.35613544,-71.11274432",42.35613544,-71.11274432,,,,,,,Central,same,CAC.99.05,Kepes; Kepes,György: Juliet,Untitled,(Owl on Blue Background),no,,Enameled metal tiles,Mosaic,Enameled Tile Mural,"94""""(h) x 84""""(w)",Morse School,"1st floor, hallway",40 Granite Street,Interior,School,School; Public Building,yes,"Call Public Art Administrator, 617-349-4388",Cambridgeport,animal,take flight; bird; animal,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Kepes_UntitledOwlOnBlueBackground_01.JPG,industrial
POINT (-71.14415736961496 42.38356438962619),71,2002,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Mags Harries & Lajos Heder,Drawn Water (circle gate),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Play.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.38356439,-71.14415737",42.38356439,-71.14415737,,,,,,,Fresh Pond,in,CAC.02.01e,Harries; Heder,Mags; Lajos,Drawn Water,Drawn Water (circle gate),no,,Painted Galvanized Steel,Sculpture,Painted Galvanized Steel Gate,"94""""(h) x 48.5""""(w)",Walter Sullivan Water Facility,Viewing circle within chainlink fence around Fresh Pond,250 Fresh Pond Parkway,Exterior,Pathway,Pathway,no,,West Cambridge,water,water; view; play; spirit; fun,This Way to Play,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_02_01e_HarriesMags_HeiderLajos_DrawnWater.jpg,oceanic
POINT (-71.11584195038971 42.372591180118924),193,1997,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Spiral (Boulder with bronze inlay Harvard St.),,,,,,"https://www.google.com/maps/search/?api=1&query=42.37259118,-71.11584195",42.37259118,-71.11584195,,,,,,,Harvard,in,CAC.97.02.4,Phillips,David,Spiral,(Boulder with bronze inlay Harvard St.),no,,Cast bronze and granite,Sculpture,Sculpture,15”-41”(h); 1130” x 944’ (overall area),Quincy Square,At intersection of Mass Ave. and Harvard Street on north side sidewalk next to benches,,Exterior,Public Square,Public Square,no,,Mid-Cambridge,nature,snail; nature; insect,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC970204_Spiral.jpg,goofy
POINT (-71.10073317966744 42.36836603015371),410,2018,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Marc Cooper,Untitled (Moses Youth Center Collaborative),,,,,,"https://www.google.com/maps/search/?api=1&query=42.36836603,-71.10073318",42.36836603,-71.10073318,,,https://www.cambridgema.gov/arts/publicart/flowgrants,https://www.cambridgema.gov/Departments/publicworks/cityprojects/2015/theportinfrasctructureimprovements,,,Central,out,CAC.18.01,Cooper,Marc,Untitled (Moses Youth Center Collaborative),,no,,"Mixed media/ Wood, canvas, fiberglass, paint, collage, and polyester surfboard resin",Sculpture,Sculpture,,Moses Youth Center,Back of building on deck,243 Harvard Street,Exterior,Public Building,Public Building; Park,no,,,Abstract,abstract; shape; surf; garden,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_05.jpg,sentimental
POINT (-71.075547080184 42.369387290332526),276,1986,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Beach Fragments (c),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Ocean.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36938729,-71.07554708",42.36938729,-71.07554708,,,,,,,Lechmere,in,CAC.86.03c,Phillips,David,Beach Fragments,(Footprints-in stone),no,,Silicon bronze in brick,Sculpture,Bronze Relief,16”(h) x 16”(w),Lechmere Canal Park,"Inlaid in brick, under the park pavilion",,Exterior,Park,Park,no,,East Cambridge,nature,beach; water; stone; nature; music; symbol; feet; hands; ocean; sea;,Ode to the Ocean,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_CAC8603c_BeachFragments.JPG,love
POINT (-71.10766132983402 42.361173209903605),22,1987,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Levitated Stone (Dragonflies/inlay),,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36117321,-71.10766133",42.36117321,-71.10766133,,,,,,,Central,in,CAC.87.06h,Phillips,David,Levitated Stone,(Dragonflies/inlay),no,,Silicon bronze,Sculpture,Sculpture,"284""""(dia.) x 3""""(w)",Dana Park,Intersection at Lawrence Street and Magazine street,,Exterior,Park,Park; Playground,no,,Cambridgeport,nature,nature; dragonfly; insect; frog; animal; fountain; water; tree; branch; stone; outdoors; land; flora; fauna,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_18.JPG,memorial
POINT (-71.11492153963431 42.36765815973514),138,1999,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,William Reimann,Untitled (Column with starling),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Creature.pdf,,3.0,,"https://www.google.com/maps/search/?api=1&query=42.36765816,-71.11492154",42.36765816,-71.11492154,,,,,,,Harvard,in,CAC.99.08j,Reimann,William,Untitled,(Column with starling),yes,,Granite (sandblasted) and paint,Sculpture,Stone,38”(h) x 9”(w) x 9”(d),Corporal Burns Park,Intersection at Memorial Drive and Flagg Street,,Exterior,Park,Park; Pathway,no,,Riverside,animal,bird; nature; animal; critter; creature,Inspect a Cantabridgian Creature,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_j_Reimann.jpg,goofy
POINT (-71.0776718600197 42.36868844956863),166,2011,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Simonds,Beacon of Color (d),,,,3.0,,"https://www.google.com/maps/search/?api=1&query=42.36868845,-71.07767186",42.36868845,-71.07767186,,,,,,,Lechmere,in,CAC.11.01d,Simonds,Nancy,Beacon of Color,,no,,Acrylic on Sintra,Mural,Painted Mural,62”(h) x 59”(w) (each),First Street Garage,Corner of First and Spring St.,,Exterior,Pathway,Public Building; Pathway,no,,East Cambridge,abstract,abstract; shape; color,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01d_Simonds.jpg,love
POINT (-71.08458351050028 42.372469970186906),34,2006,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Robert Schelling,Gore Field (g),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Play.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.37246997,-71.08458351",42.37246997,-71.08458351,,,,,,,Lechmere,in,CAC.06.06g,Schelling,Robert,Gore Field,(Medallion - diamond),no,,Silicon bronze,Sculpture,Bronze Relief,"17.5""""(h) x 17""""(w) x 1""""(d)",Gold Star Mothers Park,"Mounted on brick pillars at park entrances, Gore Street and 6th Street",,Exterior,Park,Park; Playground,no,,East Cambridge,abstract,abstract; sports; baseball; shape; entrayway; play; spirit; fun,This Way to Play,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606g_GoreField.JPG,memorial
POINT (-71.09202950014726 42.37126757011308),93,2005,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Jay Coogan,Untitled (Upright white dog),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Creature.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.37126757,-71.0920295",42.37126757,-71.0920295,,,,,,,Central,in,CAC.05.02a,Coogan,Jay,Untitled (Dogs and Cats),(Upright white dog),no,,Painted aluminum,Sculpture,Metal,"50""""(h) x 42.5""""(w) x 14""""(d)",Donnelly Field,Outside of Frisoli Youth Center,61 Willow Street,Exterior,Playground,Park; Playground,no,,Wellington-Harrington,animal,cats; dogs; animal; critter; creature,Inspect a Cantabridgian Creature,hide,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Coogan_CAC0502a_Untitled.JPG,memorial
POINT (-71.07633811954511 42.366447390105186),230,1992,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Nancy Webb,Untitled (Daylily Bud and Katydid),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Treasure.pdf,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36644739,-71.07633812",42.36644739,-71.07633812,,,,,,,Lechmere,in,CAC.92.03.30,Webb,Nancy,Untitled,(Daylily Bud and Katydid),no,,Bronze,Sculpture,Bronze,Various sizes ranging from : 16”(h) x 25.5”(w) x 6”(d) and up to 15”(dia.),Charles Park,Intersection at Edwin H. Land Blvd. and Charles Street,,Exterior,Park,Park; Pathway,no,,East Cambridge,nature,insect; katydid; plant; flower; nature; tiny; treasure; look close,Look Close! Find a Tiny Treasure,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_03_30_Webb.jpg,nostalgia
POINT (-71.08997838055453 42.37210986023884),253,2005,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Judy McKie,Alley Cats (a),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Respite.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.37210986,-71.08997838",42.37210986,-71.08997838,"Photo credit: Craig Bailey, Perspective Photography",,,,,,Inman,in,CAC.05.01a,McKie,Judy,Alley Cats,,no,,Silicon bronze,Sculpture,Bench,"32'(h) x 60""""(w) x 17""""(d) (each)",Cambridge Public Library-Valente Branch,In garden,826 Cambridge Street,Exterior,Library,Library; Public Building; Garden,no,,Wellington-Harrington,animal,bench; animal; cats; respite; seat; sit,Relish a Respite,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/McKie_CAC0501a_PerspectivePhoto.JPG,love
POINT (-71.10377502944215 42.370484300213796),198,1981,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Robin Shores,Untitled (Bollard with shoes),,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.3704843,-71.10377503",42.3704843,-71.10377503,,,,,,,Central,in,CAC.81.12d,Shores,Robin,Untitled,(Bollard with shoes),no,,Concrete,Sculpture,Sculpted Concrete Bollard,"33""""(h) x 18""""(dia.) (each)","King Open School (until 2020), the Ola Portuguese Dual Language Immersion Program",On sidewalk in front of school,359 Broadway,Exterior,School,School; Public Building; Pathway,no,,Mid-Cambridge,children,feet; shoes; children,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Shores_CAC8112d.JPG,love
POINT (-71.09825719031929 42.36343841966747),365,2015,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Adam Simha,A Public Display of Intervention,,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36343842,-71.09825719",42.36343842,-71.09825719,,,,,,,Central,out,CAC.15.01,Simha,Adam,A Public Display of Intervention,,no,,"Painted steel, mounted on cement bench",Landscape,Bench,,Charles O. Dance Jr. Square,Intersection at Bishop Allen Drive and Main Street,,Exterior,Public Square,Public Square,no,,The Port,bench,bench; abstract; respite; seat; sit,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_15_01b_Simha.jpg,goofy
POINT (-71.10157896959916 42.37091360993916),66,2009,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Mela Lyman,Anxiety of Beauty: Revisiting the Fountain of Youth,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Color.pdf,,2.0,https://www.youtube.com/watch?v=r5OZuL8i_Vo,"https://www.google.com/maps/search/?api=1&query=42.37091361,-71.10157897",42.37091361,-71.10157897,,,,,,,Central,same,CAC.09.01,Lyman,Mela,,Anxiety of Beauty: Revisiting the Fountain of Youth,no,,Acrylic on MDO board,Mural,Painted Mural,"288”(h) x 432”(w) x 3/4""""(d)",Paine Park,Attached to back of privacy fence; Intersection at Amory Street and St. Mary Road,,Exterior,Park,Park; Playground,no,,Mid-Cambridge,water,water; swimming; children; cloud; color; history; landscape; mythology,Get a Blast of Local Color,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_09_01_Lyman.JPG,nostalgia
POINT (-71.10361900979592 42.363868969582576),331,1980,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Linda Lichtman,Untitled,,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36386897,-71.10361901",42.36386897,-71.10361901,,,,,,,Central,same,CAC.80.01,Lichtman,Linda,,Untitled,no,,"Stained, leaded glass",Stained Glass,Stained glass,84”(h) x 36”(w),Central Square Branch Library,"1st floor, reading room",45 Pearl Street,Interior,Library,Library; Public Building,no,,Cambridgeport,light,glass; color; light,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_80_01_Lichtman.JPG,sentimental
POINT (-71.09213263056141 42.37127655967863),326,1997,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Jay Coogan,Stop-Action-Frieze,,,,3.0,,"https://www.google.com/maps/search/?api=1&query=42.37127656,-71.09213263",42.37127656,-71.09213263,,,,,,,Inman,same,CAC.97.01a-x,Coogan,Jay,,Stop-Action-Frieze,no,,Powder-coated aluminum,Sculpture,Metal Wall Sculpture,36.5”-62”(h) x 32”-80”(w) x 15”(d),Frisoli Youth Center,Mounted on walls of two-story lobby,61 Willow Street,Interior,School,School; Public Building,yes,"Call Public Art Administrator, 617-349-4388",Wellington-Harrington,play,play; sports,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Coogan_CAC9701_StopActionFrieze.jpg,goofy
